product,8l_sn,Wlan_Mac,Eth_Mac,BT_Mac,time
MIDI,2240LZ50V8L8,0881B2000A43,0881B2000A44,0881B2000A45,5/10/2022 7:48
MIDI,2240LZ50VU68,0881B2000DF9,0881B2000DFA,0881B2000DFB,8/10/2022 4:56
MIDI,2240LZ50VV98,0881B2000BF5,0881B2000BF6,0881B2000BF7,6/10/2022 9:57
MIDI,2240LZ50VUU8,0881B2000C1C,0881B2000C1D,0881B2000C1E,6/10/2022 10:44
MIDI,2240LZ50VQ88,0881B2000BA4,0881B2000BA5,0881B2000BA6,8/10/2022 5:28
MIDI,2240LZ50MK38,0881B2000B10,0881B2000B11,0881B2000B12,6/10/2022 6:40
MIDI,2240LZ50MK48,0881B2000B0D,0881B2000B0E,0881B2000B0F,6/10/2022 6:25
MIDI,2240LZ50V998,0881B2000A01,0881B2000A02,0881B2000A03,5/10/2022 4:35
MIDI,2240LZ50VUL8,0881B2000C39,0881B2000C3A,0881B2000C3B,7/10/2022 0:35
MIDI,2240LZ50VQ98,0881B2000DE0,0881B2000DE1,0881B2000DEC,8/10/2022 1:54
MIDI,2240LZ50VUN8,0881B2000C31,0881B2000C32,0881B2000C33,7/10/2022 0:05
MIDI,2240LZ50VUY8,0881B2000C0D,0881B2000C0E,0881B2000C0F,6/10/2022 10:22
MIDI,2240LZ50VS58,0881B2000D67,0881B2000D68,0881B2000D69,7/10/2022 8:53
MIDI,2240LZ50V8Z8,0881B2000A1C,0881B2000A1D,0881B2000A1E,5/10/2022 6:08
MIDI,2240LZ50VU98,0881B2000C57,0881B2000C58,0881B2000C59,7/10/2022 1:54
MIDI,2240LZ50VTT8,0881B2000C8F,0881B2000C90,0881B2000C91,7/10/2022 3:00
MIDI,2240LZ50VUZ8,0881B2000C0A,0881B2000C0B,0881B2000C0C,7/10/2022 1:37
MIDI,2240LZ50VQ78,0881B2000DE6,0881B2000DE7,0881B2000DE8,8/10/2022 1:50
